currency_pair,open_date,position,trade_amount,result
AU/JP,2018-03-08,short,51.191920892819645,12.406367147566925
JP/SW,2018-03-09,short,180.49865479671024,20.40535487490262
AU/SW,2018-03-09,short,51.94026630861309,18.45957064608109
CA/SW,2018-03-09,short,50.1870521479297,14.526642244218245
AU/JP,2018-03-09,short,52.09192089281963,12.624482237566921
CA/JP,2018-03-09,short,37.5135799428838,6.617399253282691
CA/AU,2018-03-09,short,83.4725314214548,-5.5050134472449495
CA/JP,2018-03-12,short,37.868579942883805,6.680021288782691
CA/AU,2018-03-12,short,83.82753142145481,-5.52842569724495
AU/JP,2018-03-12,short,52.581920892819625,12.74323378656692
CA/SW,2018-03-12,short,50.54205214792971,14.629396994218247
AU/SW,2018-03-12,short,52.430266308613085,18.633716646081087
JP/SW,2018-03-12,short,181.07865479671023,20.47092381690262
JP/SW,2018-03-13,short,181.76865479671022,20.54892824790262
AU/SW,2018-03-13,short,52.7202663086131,18.736782646081092
CA/SW,2018-03-13,short,50.327052147929706,14.567165244218247
AU/JP,2018-03-13,short,52.87192089281964,12.813515315566923
CA/JP,2018-03-13,short,37.65357994288381,6.642095267282692
CA/AU,2018-03-13,short,83.6125314214548,-5.5142464472449495
AU/JP,2018-03-14,short,52.801920892819645,12.796550808566925
CA/SW,2018-03-14,short,50.63705214792971,14.656894744218247
CA/JP,2018-03-14,short,37.963579942883804,6.696779298282691
JP/SW,2018-03-14,short,181.74865479671024,20.54666724990262
AU/SW,2018-03-14,short,52.650266308613105,18.711904646081095
CA/AU,2018-03-14,short,83.9225314214548,-5.5346909472449495
CA/JP,2018-03-15,short,37.94857994288381,6.6941332967826925
CA/AU,2018-03-15,short,83.9075314214548,-5.5337016972449495
AU/JP,2018-03-15,short,51.98192089281962,12.59782372656692
JP/SW,2018-03-15,short,181.32865479671023,20.499186291902618
AU/SW,2018-03-15,short,51.83026630861308,18.420476646081088
CA/SW,2018-03-15,short,50.62205214792971,14.652552994218247
JP/SW,2018-03-16,short,181.36865479671022,20.50370828790262
AU/SW,2018-03-16,short,51.700266308613095,18.37427464608109
CA/SW,2018-03-16,short,50.7520521479297,14.690181494218246
AU/JP,2018-03-16,short,51.851920892819635,12.566318213566923
CA/JP,2018-03-16,short,38.078579942883806,6.717065309782692
CA/AU,2018-03-16,short,84.0375314214548,-5.542275197244949
CA/AU,2018-03-19,short,84.1475314214548,-5.5495296972449495
CA/JP,2018-03-19,short,38.188579942883806,6.736469320782692
AU/JP,2018-03-19,short,52.191920892819645,12.648717247566925
CA/SW,2018-03-19,short,50.8620521479297,14.722020994218246
AU/SW,2018-03-19,short,52.040266308613106,18.495110646081095
JP/SW,2018-03-19,short,182.47865479671023,20.62919367690262
JP/SW,2018-03-20,short,181.96865479671024,20.571538227902618
AU/SW,2018-03-20,short,51.37026630861309,18.256992646081088
CA/SW,2018-03-20,short,50.40705214792971,14.590321244218249
AU/JP,2018-03-20,short,51.52192089281963,12.48634268056692
CA/JP,2018-03-20,short,37.73357994288381,6.656207275282692
CA/AU,2018-03-20,short,83.6925314214548,-5.51952244724495
CA/JP,2018-03-21,short,38.0135799428838,6.705599303282691
AU/JP,2018-03-21,short,52.04192089281964,12.612364732566924
CA/AU,2018-03-21,short,83.9725314214548,-5.53798844724495
AU/SW,2018-03-21,short,51.8902663086131,18.44180064608109
JP/SW,2018-03-21,short,183.24865479671024,20.71624209990262
CA/SW,2018-03-21,short,50.6870521479297,14.671367244218244
JP/SW,2018-03-22,short,183.01865479671022,20.690240622902618
AU/SW,2018-03-22,short,51.8502663086131,18.427584646081094
CA/SW,2018-03-22,short,51.12705214792971,14.798725244218248
AU/JP,2018-03-22,short,52.00192089281964,12.602670728566924
CA/JP,2018-03-22,short,38.453579942883806,6.783215347282692
CA/AU,2018-03-22,short,84.4125314214548,-5.56700644724495
CA/JP,2018-03-23,short,39.16857994288381,6.909341418782692
AU/JP,2018-03-23,short,52.451920892819636,12.711728273566923
CA/AU,2018-03-23,short,85.1275314214548,-5.61416069724495
AU/SW,2018-03-23,short,52.3002663086131,18.58751464608109
JP/SW,2018-03-23,short,183.36865479671022,20.72980808790262
CA/SW,2018-03-23,short,51.84205214792971,15.005681994218246
CA/JP,2018-03-26,short,38.78857994288381,6.842309380782692
AU/JP,2018-03-26,short,52.64192089281961,12.757774792566916
CA/AU,2018-03-26,short,84.74753142145481,-5.58909969724495
AU/SW,2018-03-26,short,52.49026630861307,18.655040646081083
JP/SW,2018-03-26,short,184.16865479671023,20.820248007902617
CA/SW,2018-03-26,short,51.462052147929704,14.895690994218246
JP/SW,2018-03-27,short,183.41865479671023,20.73546058290262
